id_estacion;nombre_estacion;long_estacion;lat_estacion;domicilio_estacion;tipo_estacion;observaciones;horario_estacion
143.0;Billinghurst y Valentín Gomez;-584.157.587.038.097;-346.046.352.325.181;Billinghurst 455 y Valentín Gomez;AUTOMÁTICA;may-17;Estación automática: disponibilidad las 24 horas
144.0;Pueyrredón;-584.057.904.124.662;-34.601.779.712.818.600;Boulogne Sur Mer y Tucuman;AUTOMÁTICA;mar-17;Estación automática: disponibilidad las 24 horas
145.0;Ravignani;-584.378.366.120.078;-345.804.694.653.892;Ravignani 1883 y Costa Rica;AUTOMÁTICA;abr-17;Estación automática: disponibilidad las 24 horas
146.0;Hospital Francés;-584.077.875.519.753;-346.221.944.542.981;Hospital Francés: Carlos Calvo y La Rioja;AUTOMÁTICA;abr-17;Estación automática: disponibilidad las 24 horas
147.0;Constitución I;-5.837.910.486.128.020;-346.274.554.061.156;Av Brasil 1050 y Lima;AUTOMÁTICA;may-17;Estación automática: disponibilidad las 24 horas
148.0;Constitución II;-58.379.231.885.257.700;-34.627.494.076.458.300;Av Brasil 1060 y Lima;AUTOMÁTICA;may-17;Estación automática: disponibilidad las 24 horas
149.0;Lima;-583.814.348.855.933;-346.153.639.565.906;Lima y México;AUTOMÁTICA;feb-17;Estación automática: disponibilidad las 24 horas
150.0;Vera Peñaloza;-58.363.090.509.170.800;-346.180.820.211.727;Rosario Vera Peñaloza y Olga Cossettini;AUTOMÁTICA;dic-16;Estación automática: disponibilidad las 24 horas
151.0;Aimé Painé;-58.360.905.798.483;-346.118.079.128.888;Azucena Villaflor 553 entre Calabria y Aimé Painé;AUTOMÁTICA;dic-16;Estación automática: disponibilidad las 24 horas
152.0;Julieta Lanteri;-5.835.913.142.905.360;-34.617.485.823.733.800;Vera Peñalosa entre Calabria y Julieta Lanteri;AUTOMÁTICA;ene-17;Estación automática: disponibilidad las 24 horas
153.0;Juan Manuel Blanes;-58.362.083.360.324.700;-346.306.928.058.918;Juan Manuel Blanes 383;AUTOMÁTICA;abr-17;Estación automática: disponibilidad las 24 horas
154.0;Gallo;-5.841.210.471.914.760;-346.002.248.637.866;Gallo y Tucumán;AUTOMÁTICA;feb-17;Estación automática: disponibilidad las 24 horas
155.0;Parque José Evaristo Uriburu;-584.125.592.981.411;-346.417.279.105.113;Pque. José E. Uriburu - Almafuerte 300;AUTOMÁTICA;jun-17;Estación automática: disponibilidad las 24 horas
156.0;Plaza Alemania;-58.407.965.559.468;-345.778.491.087.657;Plaza Alemania: Del Libertador Av y Cavia;AUTOMÁTICA;jun-17;Estación automática: disponibilidad las 24 horas
157.0;Senillosa y Zuviría;-584.279.521.831.874;-346.283.092.127.138;Senillosa 989 y Zuviría;AUTOMÁTICA;jun-17;Estación automática: disponibilidad las 24 horas
158.0;Villarroel;-5.844.509.865.535.970;-345.928.392.137.991;Villarroel y Humboldt;AUTOMÁTICA;abr-17;Estación automática: disponibilidad las 24 horas
160.0;Godoy Cruz y Libertador;-5.842.021.025.469.270;-345.729.623.675.618;Godoy Cruz 3291 entre Av Del Libertador y Seguí;AUTOMÁTICA;abr-17;Estación automática: disponibilidad las 24 horas
161.0;Humahuaca;-584.196.778.632.351;-3.460.205.792.409.480;Humahuaca 3918;AUTOMÁTICA;ene-17;Estación automática: disponibilidad las 24 horas
162.0;Larrea y Bartolomé Mitre;-58.401.945.169.855.700;-34.609.239.096.778.300;Larrea entre Bartolomé Mitre y Av Rivadavia;AUTOMÁTICA;jun-17;Estación automática: disponibilidad las 24 horas
163.0;Once II;-584.066.167.991.811;-346.093.554.863.347;Bartolomé Mitre y Av Pueyrredón;AUTOMÁTICA;jun-17;Estación automática: disponibilidad las 24 horas
164.0;Facultad de Ingeniería;-58.366.755.289.408.300;-346.180.669.522.061;Estados Unidos entre Azopardo y Huergo Av;AUTOMÁTICA;feb-17;Estación automática: disponibilidad las 24 horas
